"","id","parent","sex","birth_year","working_status","cit","acom4c","town_size","quality_life","citizen_status","education_level","ireg"
"1",1040021,1,2,1948,16,1,0,5,3,6,5,16
"2",1040022,11,2,1952,16,1,0,7,1,2,3,16
"3",1110521,1,2,1941,20,1,2,3,3,6,5,20
"4",1110522,2,1,1935,20,1,2,2,3,6,5,20
"5",1110523,6,1,1972,20,1,2,5,1,1,4,20
"6",119721,1,2,1948,16,1,2,2,2,5,4,17
"7",119722,2,1,1938,16,1,2,2,3,6,5,17
"8",1210671,1,1,1921,12,1,2,2,3,6,5,11
"9",12381,1,1,1937,15,1,2,3,3,6,5,15
"10",13671,1,1,1927,18,1,2,2,3,6,5,18
"11",13672,2,2,1930,18,1,2,1,3,6,5,18
"12",1380911,1,1,1938,8,1,2,3,3,6,5,8
"13",1380912,2,2,1941,8,1,2,4,3,6,5,8
"14",1383991,1,1,1943,8,1,2,3,3,6,5,8
"15",1383992,2,2,1952,8,1,2,5,1,2,3,8
"16",1450071,1,1,1954,20,1,2,7,2,4,4,20
"17",1450072,2,2,1956,20,1,2,7,2,4,4,20
"18",1450073,6,1,1982,20,1,2,7,3,7,5,20
"19",1450121,1,1,1922,20,1,2,2,3,6,5,20
"20",1731,1,1,1948,18,1,2,5,3,6,5,18
"21",1760111,1,1,1951,18,1,1,2,3,6,5,1
"22",1760112,2,2,1954,18,1,1,3,1,1,2,1
"23",1760191,1,2,1928,1,1,1,3,3,6,5,1
"24",1760571,1,2,1938,8,1,1,2,3,7,5,1
"25",1760611,1,1,1930,19,1,1,2,3,6,5,1
"26",1760612,2,2,1942,19,1,1,3,3,6,5,1
"27",1760681,1,1,1951,1,1,1,5,3,6,5,1
"28",1760682,2,2,1950,1,1,1,4,3,6,5,1
"29",1760683,6,1,1979,1,1,1,5,1,2,4,1
"30",17631,1,1,1947,17,1,0,2,3,7,5,17
"31",17632,2,2,1954,17,1,0,2,1,1,1,17
"32",1780011,1,1,1947,12,1,2,3,3,6,5,12
"33",1780581,1,1,1967,12,1,2,3,3,7,5,12
"34",1780582,2,2,1965,12,1,2,3,1,1,3,12
"35",1880541,1,1,1962,8,1,0,3,2,5,4,8
"36",1880542,2,2,1961,8,1,0,5,2,5,4,8
"37",19271,1,2,1933,5,1,2,3,3,6,5,5
"38",1930161,1,1,1933,10,1,0,1,3,6,5,10
"39",1930261,1,2,1942,10,1,0,7,3,6,5,10
"40",1930262,2,1,1933,10,1,0,2,3,6,5,10
"41",1930821,1,2,1973,10,1,0,5,1,1,2,10
"42",1930822,2,1,1970,10,1,0,5,2,4,4,10
"43",19461,1,1,1953,5,1,2,5,3,6,5,5
"44",19462,11,1,1939,5,1,2,2,3,6,5,5
"45",201741,1,1,1941,8,1,2,5,3,6,5,8
"46",201742,2,2,1942,8,1,2,3,3,6,5,8
"47",202231,1,2,1938,3,1,2,5,3,6,5,3
